Gal,logP,mW,sig_mW,M/H,z,V-I,mu,sig_mu
N4258,0.883263859584974,22.9261,0.5,0.1229999999999993,0.00149,1.15,29.397,0.032
N4258,0.8014723135214711,24.8591,0.56,0.0470000000000006,0.00149,0.65,29.397,0.032
