name,mB,sig_mB,z,sig_z
17552,21.2338,0.1462,0.25191,0.0
17784,16.7708,0.1166,0.03743,0.0
17791,21.8807,0.2055,0.27749,0.0
17809,21.2668,0.1491,0.28746,0.0
17811,20.61015,0.13895,0.19867,0.0
17825,20.07605,0.129,0.15999,0.0
17875,21.0136,0.15075,0.21075,0.0
17884,21.0147,0.1316,0.23775,0.0
18030,20.14265,0.11795,0.15517,0.0
18241,18.94955,0.14945,0.09391,0.0
18323,20.08555,0.11355,0.15271,0.0
18325,21.2741,0.1446,0.25722,0.0
18466,20.80065,0.1303,0.21226,0.0
18486,20.88445,0.13085,0.2454,0.0
18602,19.76485,0.11075,0.13696,0.0
18617,21.9051,0.1809,0.32569,0.0
18697,19.09035,0.10245,0.10638,0.0
18721,22.30585,0.1602,0.40127,0.0
18749,20.4864,0.13035,0.18931,0.0
18804,20.4352,0.1122,0.19726,0.0
18809,19.5616,0.132,0.12837,0.0
18835,19.44025,0.1033,0.12262,0.0
18855,19.59325,0.10365,0.12715,0.0
18927,20.67635,0.1429,0.21323,0.0
18940,20.727,0.12695,0.21099,0.0
18945,21.4883,0.15275,0.26856,0.0
18965,20.66435,0.12435,0.20453,0.0
19002,21.2859,0.12695,0.2701,0.0
19023,20.98075,0.15175,0.24185,0.0
19027,21.236,0.14645,0.29114,0.0
19067,21.81675,0.1515,0.35346,0.0
19128,21.60225,0.15435,0.28543,0.0
19230,20.6719,0.1534,0.21955,0.0
19282,20.24765,0.1249,0.17558,0.0
19341,20.9929,0.1458,0.23542,0.0
19353,19.99965,0.1096,0.15325,0.0
19425,20.90475,0.1584,0.21005,0.0
19596,21.51945,0.1501,0.29135,0.0
19632,21.8225,0.14945,0.31376,0.0
19775,19.7402,0.1138,0.13687,0.0
19794,21.7708,0.1925,0.29567,0.0
19818,21.49625,0.135,0.30394,0.0
19913,20.73155,0.1351,0.20557,0.0
19953,19.34125,0.09805,0.1219,0.0
19969,20.2369,0.11045,0.17428,0.0
19990,21.2028,0.13995,0.24883,0.0
20039,21.1159,0.14105,0.24558,0.0
20084,19.8495,0.1169,0.13833,0.0
20088,21.02795,0.1175,0.24315,0.0
20111,21.18455,0.15195,0.24267,0.0
20142,21.3618,0.137,0.31468,0.0
20227,21.4485,0.153,0.27573,0.0
20245,21.4204,0.15885,0.30041,0.0
20364,20.89395,0.15665,0.21728,0.0
20581,20.5734,0.12555,0.20335,0.0
20687,20.4061,0.1552,0.19025,0.0
21006,21.3714,0.15315,0.29021,0.0
21033,20.83435,0.15045,0.22786,0.0
21042,21.45975,0.15795,0.31065,0.0
21062,20.12265,0.11415,0.13729,0.0
21502,18.6796,0.1066,0.08784,0.0
722,18.62285,0.1057,0.08504,0.0
762,20.6486,0.11825,0.19009,0.0
774,18.8576,0.109,0.09227,0.0
1032,19.58985,0.12795,0.12903,0.0
1253,21.1668,0.15835,0.26166,0.0
2017,21.4559,0.17885,0.26162,0.0
2246,20.61715,0.12925,0.19422,0.0
2308,19.83975,0.1218,0.14703,0.0
2330,21.14485,0.1818,0.21179,0.0
2372,20.30175,0.11325,0.17958,0.0
2440,20.6928,0.11925,0.19029,0.0
2533,21.7897,0.1618,0.3388,0.0
2561,19.41925,0.10595,0.11741,0.0
2789,21.5295,0.1639,0.2889,0.0
2943,21.2679,0.15695,0.26405,0.0
3199,21.38165,0.1409,0.24961,0.0
3452,20.8794,0.1271,0.22967,0.0
3592,18.608,0.10035,0.08543,0.0
4000,21.62545,0.19055,0.27656,0.0
4577,22.1744,0.1645,0.36193,0.0
5391,21.62535,0.16525,0.30021,0.0
5395,19.38465,0.1036,0.11635,0.0
5550,19.83105,0.1045,0.15492,0.0
5717,21.2982,0.13225,0.25037,0.0
5736,21.209,0.1266,0.25174,0.0
5751,19.5471,0.1075,0.12928,0.0
5844,21.72385,0.1693,0.30929,0.0
6137,21.66705,0.1633,0.29888,0.0
6192,21.3419,0.169,0.27091,0.0
6249,21.57975,0.1437,0.29353,0.0
6304,20.46505,0.1185,0.18979,0.0
6406,19.4023,0.1022,0.12376,0.0
6649,21.63085,0.14295,0.31288,0.0
6699,21.83605,0.15525,0.30915,0.0
6780,20.60265,0.13765,0.20267,0.0
6933,20.6247,0.1276,0.21163,0.0
6936,20.4025,0.1152,0.1789,0.0
7143,21.872,0.13765,0.30354,0.0
7473,20.8217,0.1308,0.21457,0.0
7475,21.6956,0.1358,0.32045,0.0
7512,20.9318,0.14225,0.21835,0.0
7876,18.2988,0.10185,0.07523,0.0
8046,21.37115,0.15,0.2576,0.0
8213,20.3647,0.13065,0.18468,0.0
8719,19.29475,0.10185,0.11628,0.0
10028,17.87655,0.1109,0.06481,0.0
10434,19.16045,0.103,0.10288,0.0
10805,16.92415,0.11995,0.04437,0.0
12843,19.9345,0.12155,0.16595,0.0
12853,20.0523,0.1219,0.16817,0.0
12855,20.12375,0.14255,0.17063,0.0
