Gal,logP,mW,sig_mW,O/H,z,mu,sig_mu
N4258,1.030599721965951,23.006980000000002,0.5,8.938,0.00149,29.397,0.032
N4258,1.039017321997412,22.79242,0.51,8.947,0.00149,29.397,0.032
N4258,1.04766419460156,23.151020000000003,0.46,8.947,0.00149,29.397,0.032
N4258,1.065206128054312,23.05102,0.5,8.948,0.00149,29.397,0.032
N4258,1.0659529803138696,23.05188,0.5,8.937,0.00149,29.397,0.032
N4258,1.077731179652392,22.693299999999997,0.55,8.955,0.00149,29.397,0.032
N4258,1.0902580529313164,23.629080000000002,0.48,8.968,0.00149,29.397,0.032
N4258,1.0937717814987298,22.958380000000002,0.44,8.942,0.00149,29.397,0.032
N4258,1.142389466118836,23.5796,0.61,8.987,0.00149,29.397,0.032
N4258,1.1445742076096164,23.1903,0.6,8.989,0.00149,29.397,0.032
N4258,1.1622656142980214,23.15698,0.37,8.936,0.00149,29.397,0.032
N4258,1.1661339703051092,23.2333,0.5,8.99,0.00149,29.397,0.032
N4258,1.1740598077250255,23.3424,0.48,8.995,0.00149,29.397,0.032
N4258,1.1978316933289028,22.4161,0.51,8.982,0.00149,29.397,0.032
N4258,1.2052043639481447,22.846980000000002,0.54,9.005,0.00149,29.397,0.032
N4258,1.2065560440990295,23.34732,0.63,8.952,0.00149,29.397,0.032
N4258,1.2087100199064011,22.36346,0.48,8.982,0.00149,29.397,0.032
N4258,1.209783014848515,23.11962,0.41,8.961,0.00149,29.397,0.032
N4258,1.2148438480476977,22.818559999999998,0.48,8.986,0.00149,29.397,0.032
N4258,1.224014811372864,22.4861,0.56,8.954,0.00149,29.397,0.032
N4258,1.250420002308894,23.014,0.44,8.966,0.00149,29.397,0.032
N4258,1.2591158441850663,22.19944,0.49,8.983,0.00149,29.397,0.032
N4258,1.2757719001649315,21.99962,0.47,8.998,0.00149,29.397,0.032
N4258,1.291590825658001,23.17434,0.38,8.987,0.00149,29.397,0.032
N4258,1.3178544893314692,22.471539999999997,0.4,9.002,0.00149,29.397,0.032
N4258,1.3354579006893843,21.64786,0.6,8.98,0.00149,29.397,0.032
N4258,1.3508292735829677,22.6924,0.46,8.993,0.00149,29.397,0.032
N4258,1.354108439147401,22.23066,0.42,8.96,0.00149,29.397,0.032
N4258,1.3602146132953523,22.006980000000002,0.27,8.925,0.00149,29.397,0.032
N4258,1.366982975977851,21.88856,0.54,8.959,0.00149,29.397,0.032
N4258,1.3818367999983434,21.710140000000003,0.47,8.961,0.00149,29.397,0.032
N4258,1.3827372657613304,21.7896,0.54,8.999,0.00149,29.397,0.032
N4258,1.3935752032695876,21.86118,0.46,8.982,0.00149,29.397,0.032
N4258,1.4219328132785085,22.16626,0.43,8.976,0.00149,29.397,0.032
N4258,1.4274861090957855,22.339260000000003,0.19,8.92,0.00149,29.397,0.032
N4258,1.4292676664331685,22.0319,0.48,8.988,0.00149,29.397,0.032
N4258,1.4473131088235682,21.65908,0.38,8.994,0.00149,29.397,0.032
N4258,1.4762517960070336,21.1619,0.28,8.932,0.00149,29.397,0.032
N4258,1.490099005063305,22.489600000000003,0.44,8.98,0.00149,29.397,0.032
N4258,1.498999363580153,21.5326,0.29,8.966,0.00149,29.397,0.032
N4258,1.5039268041935103,21.813460000000003,0.49,8.993,0.00149,29.397,0.032
N4258,1.5083950331330531,21.5347,0.38,8.949,0.00149,29.397,0.032
N4258,1.5332635167787148,21.54172,0.53,8.978,0.00149,29.397,0.032
N4258,1.5439439424829065,21.4454,0.28,8.955,0.00149,29.397,0.032
N4258,1.5456781497920256,21.281360000000003,0.4,8.978,0.00149,29.397,0.032
N4258,1.5901728315963144,21.3068,0.4,8.975,0.00149,29.397,0.032
N4258,1.5922878159521308,21.207160000000002,0.37,8.99,0.00149,29.397,0.032
N4258,1.5945030438200891,21.52996,0.38,8.929,0.00149,29.397,0.032
N4258,1.6001012556913907,21.7861,0.32,8.932,0.00149,29.397,0.032
N4258,1.6459132750338443,21.00768,0.3,8.945,0.00149,29.397,0.032
N4258,1.7151673578484579,21.316100000000002,0.24,8.957,0.00149,29.397,0.032
N4258,0.7137424784090826,24.05892,0.46,8.879,0.00149,29.397,0.032
N4258,0.7156691424009902,23.7933,0.49,8.843,0.00149,29.397,0.032
N4258,0.825945143203848,23.853299999999997,0.32,8.765,0.00149,29.397,0.032
N4258,0.8643330550333931,23.4226,0.52,8.893,0.00149,29.397,0.032
N4258,0.9350031514536548,23.459439999999997,0.24,8.722,0.00149,29.397,0.032
N4258,0.9895832893110051,23.89084,0.26,8.831,0.00149,29.397,0.032
N4258,1.0310042813635367,23.22646,0.21,8.771,0.00149,29.397,0.032
N4258,1.044539760392411,23.44962,0.24,8.767,0.00149,29.397,0.032
N4258,1.1858253596129622,23.13716,0.34,8.897,0.00149,29.397,0.032
N4258,1.1928461151888416,22.54856,0.17,8.775,0.00149,29.397,0.032
N4258,1.2100508498751372,22.3054,0.19,8.833,0.00149,29.397,0.032
N4258,1.2268575702887234,22.73574,0.18,8.74,0.00149,29.397,0.032
N4258,1.255995726722402,22.4461,0.28,8.895,0.00149,29.397,0.032
N4258,1.3308194664958368,22.90084,0.23,8.902,0.00149,29.397,0.032
N4258,0.7311050512159205,24.558040000000002,0.54,8.9,0.00149,29.397,0.032
