Gal,mB,sig_mB
M66,10.98,0.12
M96,11.0,0.12
M101,9.83,0.1
N1316,11.98,0.1
N1316,11.61,0.23
N1316,11.92,0.08
N1365,11.93,0.13
N1404,12.46,0.19
N1404,11.98,0.15
N1448,12.18,0.09
N4038,12.3,0.1
N4424,11.62,0.12
N4526,11.51,0.17
N4536,11.6,0.09
N5643,11.27,0.14
N5643,11.2,0.14
